dataset,model,horizon,baseline_mse,baseline_mae,corrected_mse,corrected_mae,filename
Weather,timexer,96,0.1562,0.2029,0.1532,0.2006,Weather_crc_timexer_m_pl96_dm64.log
Weather,timesnet,96,0.1791,0.2284,0.1678,0.2196,Weather_crc_timesnet_m_pl96_dm64.log
Weather,autoformer,96,0.3358,0.3814,0.2699,0.3304,Weather_crc_autoformer_m_pl96_dm64.log
Weather,informer,96,0.4684,0.4814,0.4612,0.4752,Weather_crc_informer_m_pl96_dm64.log
Weather,patchtst,96,0.1718,0.2131,0.1612,0.2065,Weather_crc_patchtst_m_pl96_dm64.log
Weather,dlinear,96,0.1994,0.2617,0.1659,0.2198,Weather_crc_dlinear_m_pl96_dm64.log
Weather,timexer,192,0.2071,0.2496,0.1996,0.2442,Weather_crc_timexer_m_pl192_dm64.log
Weather,timesnet,192,0.2389,0.274,0.2281,0.268,Weather_crc_timesnet_m_pl192_dm64.log
Weather,autoformer,192,0.3139,0.368,0.2759,0.3383,Weather_crc_autoformer_m_pl192_dm64.log
Weather,informer,192,0.768,0.6361,0.7628,0.6329,Weather_crc_informer_m_pl192_dm64.log
Weather,patchtst,192,0.22,0.2553,0.2042,0.2462,Weather_crc_patchtst_m_pl192_dm64.log
Weather,dlinear,192,0.2404,0.301,0.208,0.2619,Weather_crc_dlinear_m_pl192_dm64.log
Weather,timexer,336,0.262,0.2904,0.2482,0.281,Weather_crc_timexer_m_pl336_dm64.log
Weather,timesnet,336,0.3038,0.3182,0.2867,0.3078,Weather_crc_timesnet_m_pl336_dm64.log
Weather,autoformer,336,0.3853,0.4083,0.3352,0.3735,Weather_crc_autoformer_m_pl336_dm64.log
Weather,informer,336,0.906,0.6963,0.8969,0.6918,Weather_crc_informer_m_pl336_dm64.log
Weather,patchtst,336,0.2748,0.2951,0.2525,0.284,Weather_crc_patchtst_m_pl336_dm64.log
Weather,dlinear,336,0.2945,0.3523,0.26,0.3051,Weather_crc_dlinear_m_pl336_dm64.log
