dataset,model,horizon,baseline_mse,baseline_mae,corrected_mse,corrected_mae,filename
ETTh1,patchtst,96,0.3869,0.4066,0.3912,0.4082,ETTh1_crc_patchtst_m_pl96_dm64.log
ETTh1,dlinear,96,0.3851,0.3983,0.3883,0.4019,ETTh1_crc_dlinear_m_pl96_dm64.log
ETTh1,patchtst,192,0.4581,0.4491,0.4571,0.4541,ETTh1_crc_patchtst_m_pl192_dm64.log
ETTh1,dlinear,192,0.444,0.4411,0.4476,0.4458,ETTh1_crc_dlinear_m_pl192_dm64.log
ETTh1,patchtst,336,0.5062,0.4745,0.5125,0.4847,ETTh1_crc_patchtst_m_pl336_dm64.log
ETTh1,dlinear,336,0.4801,0.4566,0.49,0.4633,ETTh1_crc_dlinear_m_pl336_dm64.log
ETTh2,patchtst,96,0.3002,0.3514,0.2999,0.3512,ETTh2_crc_patchtst_m_pl96_dm64.log
ETTh2,dlinear,96,0.3129,0.3686,0.3165,0.3687,ETTh2_crc_dlinear_m_pl96_dm64.log
ETTh2,patchtst,192,0.385,0.4019,0.3849,0.401,ETTh2_crc_patchtst_m_pl192_dm64.log
ETTh2,dlinear,192,0.4243,0.4378,0.4178,0.4334,ETTh2_crc_dlinear_m_pl192_dm64.log
ETTh2,patchtst,336,0.4279,0.4383,0.4297,0.4416,ETTh2_crc_patchtst_m_pl336_dm64.log
ETTh2,dlinear,336,0.5775,0.5315,0.5719,0.5283,ETTh2_crc_dlinear_m_pl336_dm64.log
ETTm1,patchtst,96,0.3248,0.3617,0.3258,0.3625,ETTm1_crc_patchtst_m_pl96_dm64.log
ETTm1,dlinear,96,0.3453,0.3729,0.3288,0.3628,ETTm1_crc_dlinear_m_pl96_dm64.log
ETTm1,patchtst,192,0.3718,0.3915,0.3708,0.3933,ETTm1_crc_patchtst_m_pl192_dm64.log
ETTm1,dlinear,192,0.3824,0.3944,0.3732,0.3933,ETTm1_crc_dlinear_m_pl192_dm64.log
ETTm1,patchtst,336,0.3915,0.4043,0.3975,0.412,ETTm1_crc_patchtst_m_pl336_dm64.log
ETTm1,dlinear,336,0.4141,0.4145,0.4035,0.413,ETTm1_crc_dlinear_m_pl336_dm64.log
ETTm2,patchtst,96,0.1793,0.2618,0.177,0.2606,ETTm2_crc_patchtst_m_pl96_dm64.log
ETTm2,dlinear,96,0.1854,0.2783,0.1758,0.2643,ETTm2_crc_dlinear_m_pl96_dm64.log
ETTm2,patchtst,192,0.2474,0.3102,0.2417,0.3078,ETTm2_crc_patchtst_m_pl192_dm64.log
ETTm2,dlinear,192,0.2557,0.3309,0.2412,0.3159,ETTm2_crc_dlinear_m_pl192_dm64.log
ETTm2,patchtst,336,0.3079,0.3489,0.2999,0.3479,ETTm2_crc_patchtst_m_pl336_dm64.log
ETTm2,dlinear,336,0.319,0.3763,0.3015,0.3603,ETTm2_crc_dlinear_m_pl336_dm64.log
